Rule ID,Data Input Category,Data Input,Trigger Condition,Automation Key,Dispatch Action,Work Item Type,Priority,Cadence,Impact Area,Financial Logic,Evidence Required,Human Review Level,Metric Updated,Feedback Loop,Repeat / Deviate / Innovate Logic
FSR-001,Lead / Request,New web lead,"New lead received from website, form, marketplace, or referral source",new_demand_received,Create intake review work item and match/create customer + location record,Intake Review,High,Real time to 5 minutes,Revenue Creation,Fast response improves conversion of inbound demand into booked jobs,"Lead source, timestamp, customer contact, request description",Dispatcher/CSR review,"New requests, response time, lead conversion",Repeat if converted; deviate if unqualified; innovate if source quality is poor,"If lead converts, preserve intake pattern; if rejected/ignored often, adjust qualification rules or source scoring"
FSR-002,Lead / Request,Missed call,Missed call with no returned call logged within 5 minutes,missed_revenue_risk,Create urgent callback work item and notify owner/dispatcher if high value or emergency,Urgent Follow-Up,Critical,Real time,Revenue Protection,Missed calls are lost job opportunities; fast callback protects revenue,"Caller ID, timestamp, voicemail/transcript if available, callback disposition",Dispatcher/CSR review,"Missed calls, callback latency, recovered opportunities",Repeat for all missed calls; deviate for spam; innovate if missed call volume is systemic,"If repeated missed calls occur after hours, suggest after-hours answering or call routing workflow"
FSR-003,Lead / Request,Voicemail transcript,Voicemail contains service request language or emergency terms,voicemail_service_request,"Parse transcript, create request summary, and stage intake work item",Intake Review,High,Real time to 5 minutes,Revenue Creation,Converts unstructured voicemail into actionable demand without manual transcription,"Transcript, audio reference, parsed service type, customer contact",Dispatcher/CSR approval,"Voicemail conversion, response time, accepted agent proposals",Repeat if parse accepted; deviate if transcript weak; innovate if common request type emerges,Accepted parsing improves intake prompts; rejected parsing flags transcript quality or vocabulary gaps
FSR-004,Lead / Request,Customer text/SMS,"Incoming text contains new request, complaint, approval, cancellation, or schedule change",customer_message_event,Classify message and create/update related work item,Message Review,High,Real time,Customer Experience,Timely message handling protects booked revenue and prevents complaints,"Message body, timestamp, customer match, classification",Dispatcher/CSR review,"Unresolved customer messages, response latency",Repeat known classifications; deviate when ambiguous; innovate customer communication templates,"If repeated same-message patterns occur, create canned response or automation rule"
FSR-005,Lead / Request,Marketplace lead,New lead from paid marketplace or third-party source,paid_lead_received,Create intake review and mark source/cost channel for ROI tracking,Intake Review,High,Real time to 5 minutes,Revenue Creation,Paid leads require fast response and source ROI tracking to avoid wasted spend,"Lead source, timestamp, request type, contact, cost/source if available",Dispatcher/CSR review,"Lead source conversion, cost per booked job",Repeat high-quality sources; deviate low-quality sources; innovate spend allocation,"If source conversion is weak, flag marketing spend review"
FSR-006,Lead / Request,New email request,Email inbox/forwarding address receives service request or customer inquiry,email_request_received,"Parse email, match/create customer, and create intake or follow-up work item",Intake Review,High,Real time to 5 minutes,Revenue Creation,Email requests often become jobs if routed quickly and not buried,"Email body, sender, timestamp, parsed request summary",Dispatcher/CSR approval,"Email requests, response time, conversion",Repeat accepted parsing; deviate for non-service email; innovate inbox routing rules,"If frequent false positives, improve sender/source filters"
FSR-007,Customer / Location,New customer record,Customer appears in source system without required contact or location fields,customer_data_gap,Create data cleanup work item before scheduling or follow-up,Data Cleanup,Medium,Hourly to daily,Data Quality,"Incomplete records cause failed follow-up, scheduling errors, and revenue leakage","Source customer record, missing field list",Admin/CSR review,"Customer data completeness, data gaps",Repeat cleanup; deviate if source system missing fields; innovate intake requirements,"If same fields are frequently missing, add required intake checklist"
FSR-008,Customer / Location,Duplicate customer/location,Same phone/email/address appears across multiple customer records,duplicate_record_detected,Create merge/review proposal and data cleanup work item,Data Cleanup,Medium,Daily,Data Quality,"Duplicate records distort customer history, follow-up, service eligibility, and revenue reporting","Matched records, duplicate fields, confidence score",Admin approval,"Duplicate records, data quality score",Repeat merge rules if accepted; deviate if false matches; innovate matching logic,Accepted duplicate proposals improve match thresholds; rejected ones lower confidence
FSR-009,Estimate / Quote,Estimate created,New estimate/quote created in source system,estimate_created,Create estimate tracking record and follow-up schedule,Estimate Tracking,Medium,Hourly,Revenue Creation,Open estimates represent pipeline value that requires follow-up discipline,"Estimate ID, customer, amount, scope, created/sent date",None unless missing data,"Open estimates, pipeline value",Repeat for all estimates; deviate if estimate lacks amount/status; innovate quoting workflow,"If many estimates lack scope or amount, create estimate completeness checklist"
FSR-010,Estimate / Quote,Estimate sent,Estimate sent and no customer response within 48 hours,stale_estimate_followup,Create follow-up work item for owner/sales/CSR,Estimate Follow-Up,High,Hourly to daily,Revenue Protection,Stale estimates are near-term revenue leakage; follow-up increases close rate,"Estimate sent date, amount, last contact, customer info",Assigned owner review,"Stale estimates, follow-up latency, close rate",Repeat if follow-up converts; deviate timing if customer cycle differs; innovate follow-up templates,"If 48-hour follow-up is too soon/late, adjust by business type and ticket size"
