artifact,narrative completeness,ontology completeness,object completeness,workflow completeness,agent completeness,evidence and approval completeness,schema completeness,API/event completeness,fixture completeness,test completeness,security completeness,operational completeness,validation completeness,overall maturity,maturity rationale
PV10-0001 | MASTER_PRODUCT_AND_INTELLIGENCE_MAP.md,68,40,45,60,35,45,35,30,25,25,35,42,25,60,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0002 | SCOPE_AND_NON_GOALS.md,46,20,23,20,38,23,15,10,10,10,15,20,10,38,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0003 | RFC-11000.md,58,30,35,50,25,35,25,20,15,15,25,32,15,50,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0004 | RFC-11001.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0005 | RFC-11002.md,55,27,47,29,22,32,22,17,12,12,22,29,12,47,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0006 | RFC-11003.md,49,21,26,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0007 | RFC-11004.md,40,20,20,20,15,20,15,10,10,10,15,20,10,32,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0008 | RFC-11005.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0009 | RFC-11006.md,61,33,38,35,28,38,28,23,18,18,28,35,18,53,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0010 | RFC-11007.md,49,21,41,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0011 | RFC-11008.md,52,24,44,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0012 | RFC-11009.md,49,21,26,23,16,26,16,11,10,10,16,23,10,41,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0013 | RFC-11010.md,52,24,29,26,19,29,19,14,10,10,19,26,10,44,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0014 | RFC-11011.md,34,20,20,20,15,20,15,10,10,10,15,20,10,26,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0015 | RFC-11012.md,34,20,20,20,15,20,15,10,10,10,15,20,10,26,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0016 | RFC-11013.md,40,20,20,32,15,20,15,10,10,10,15,20,10,32,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0017 | RFC-11014.md,37,20,29,20,15,20,15,10,10,10,15,20,10,29,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0018 | RFC-11015.md,61,33,38,35,28,38,28,23,18,18,28,35,18,53,"Active Draft; assessed against current V1 content-completion standard, not historical labels."
PV10-0019 | CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,52,49,44,26,19,29,19,14,10,10,19,26,10,44,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0020 | COOPERATIVE_FINANCE_AND_CUSOS.md,37,34,29,20,15,20,15,10,10,10,15,20,10,29,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0021 | CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,31,28,23,20,15,20,15,10,10,10,15,20,10,23,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0022 | DEPOSITS_TREASURY_AND_LIQUIDITY.md,46,43,38,20,15,23,15,10,10,10,15,20,10,38,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0023 | FINANCE_ACCOUNTING_AND_ECONOMICS.md,37,34,29,20,15,20,15,10,10,10,15,20,10,29,"Canonical Input; assessed against current V1 content-completion standard, not historical labels."
PV10-0024 | FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,55,27,32,47,22,32,22,17,12,12,22,29,12,47,"Historical Foundation; assessed against current V1 content-completion standard, not historical labels."
