artifact ID,filename,folder,source file,source heading,original line range or source boundary,document family,purpose,product layer,likely FS section,generation,authority status,maturity percentage,confidence in assessment,missing to reach 75%,missing to reach 100%,duplication notes,conflict notes,recommended action
PV10-0001,MASTER_PRODUCT_AND_INTELLIGENCE_MAP.md,00_MASTER,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Master Product and Institutional Intelligence Map,File: 00_MASTER/MASTER_PRODUCT_AND_INTELLIGENCE_MAP.md,Workflows,Defines or inventories Master Product and Institutional Intelligence Map,Workflows,FS-8000,Post–Volume 10 institutional intelligence package,Canonical Input,60,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0002,SCOPE_AND_NON_GOALS.md,00_MASTER,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Scope and Non-Goals,File: 00_MASTER/SCOPE_AND_NON_GOALS.md,Agents,Defines or inventories Scope and Non-Goals,Agents,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,38,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0003,RFC-11000.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11000 — Volume XI Architecture & Dependency Map,File: 01_VOLUME_XI/RFC-11000.md,Workflows,Defines or inventories RFC-11000 — Volume XI Architecture & Dependency Map,Workflows,FS-4000,Post–Volume 10 institutional intelligence package,Active Draft,50,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0004,RFC-11001.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11001 — Institutional Intelligence Philosophy,File: 01_VOLUME_XI/RFC-11001.md,"Documents, Evidence and Knowledge",Defines or inventories RFC-11001 — Institutional Intelligence Philosophy,"Documents, Evidence and Knowledge",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0005,RFC-11002.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11002 — Institution and Market Domain Model,File: 01_VOLUME_XI/RFC-11002.md,"Data, Connectors and Graph",Defines or inventories RFC-11002 — Institution and Market Domain Model,"Data, Connectors and Graph",FS-9000,Post–Volume 10 institutional intelligence package,Active Draft,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0006,RFC-11003.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11003 — Financial Infrastructure and Fintech Capability Model,File: 01_VOLUME_XI/RFC-11003.md,"Documents, Evidence and Knowledge",Defines or inventories RFC-11003 — Financial Infrastructure and Fintech Capability Model,"Documents, Evidence and Knowledge",FS-4000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0007,RFC-11004.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11004 — Financial Product and Instrument Model,File: 01_VOLUME_XI/RFC-11004.md,"Documents, Evidence and Knowledge",Defines or inventories RFC-11004 — Financial Product and Instrument Model,"Documents, Evidence and Knowledge",FS-13000,Post–Volume 10 institutional intelligence package,Active Draft,32,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0008,RFC-11005.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11005 — Cooperative Finance Model,File: 01_VOLUME_XI/RFC-11005.md,"Executive, Board and Governance",Defines or inventories RFC-11005 — Cooperative Finance Model,"Executive, Board and Governance",FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0009,RFC-11006.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11006 — Innovation Adoption and Procurement Model,File: 01_VOLUME_XI/RFC-11006.md,"Executive, Board and Governance",Defines or inventories RFC-11006 — Innovation Adoption and Procurement Model,"Executive, Board and Governance",FS-12000,Post–Volume 10 institutional intelligence package,Active Draft,53,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0010,RFC-11007.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11007 — Institutional Profile Assembly,File: 01_VOLUME_XI/RFC-11007.md,"Data, Connectors and Graph",Defines or inventories RFC-11007 — Institutional Profile Assembly,"Data, Connectors and Graph",FS-9000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
