artifact_id,removed_derivative_path,FS_4000_authority,decision,reason,source_preservation,authority_status
PV10-0019,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0019_CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,Domain content is covered more completely by FS-4005 through FS-4008.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0020,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0020_COOPERATIVE_FINANCE_AND_CUSOS.md,FS-4002,Remove derivative from active Post-Volume 10 package,Credit-union and CUSO domain content is covered by FS-4002.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0021,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0021_CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Customer/member/relationship domain content is covered by FS-4001 through FS-4003, especially FS-4002.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0022,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0022_DEPOSITS_TREASURY_AND_LIQUIDITY.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Deposit, treasury, ALM, liquidity, and payment operations are covered across FS-4001 through FS-4003.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0023,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0023_FINANCE_ACCOUNTING_AND_ECONOMICS.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Finance, accounting, economics, KPI, and reporting content is embedded throughout FS-4000 domain frameworks.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0024,04_WORKFLOWS/PV10-0024_FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Fintech and financial-infrastructure domain content is incorporated across FS-4001, FS-4002, FS-4008, and FS-4015.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0025,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0025_INNOVATION_PROCUREMENT_AND_ADOPTION.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Innovation, procurement, vendor adoption, and pilot lifecycle content is covered by FS-4002, FS-4014, and FS-4015.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0026,04_WORKFLOWS/PV10-0026_INSTITUTIONS_AND_GOVERNANCE.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,Institution and governance domain content is covered throughout FS-4001 through FS-4003 and FS-4014.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0027,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0027_LENDING_CREDIT_AND_SERVICING.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Lending, credit, servicing, approval, and exception content is covered by FS-4001 through FS-4005.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0028,04_WORKFLOWS/PV10-0028_OPERATIONS_TECHNOLOGY_AND_DATA.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Operations, technology, data, and connector domain content is incorporated across FS-4000 frameworks and FS-4015.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0029,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0029_PAYMENTS_CARDS_AND_MONEY_MOVEMENT.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Payments, cards, settlement, and money movement are covered in banking, credit-union, and capital-markets frameworks.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0030,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0030_RISK_COMPLIANCE_AND_REGULATION.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,"Risk, compliance, regulation, examination, and evidence content is covered by FS-4014 and domain-specific control sections.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0031,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0031_WEALTH_BROKERAGE_TRUST_AND_INSURANCE.md,FS-4009 / FS-4010,Remove derivative from active Post-Volume 10 package,"Wealth, brokerage, trust, and insurance content is covered by FS-4009 and FS-4010.",Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0035,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0035_LENDING_CREDIT_TRUTH_MODEL.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,The lending truth model is absorbed by the detailed lending and credit lifecycle specifications in FS-4001 through FS-4005.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0037,04_WORKFLOWS/PV10-0037_REGULATORY_INTELLIGENCE_TRUTH_MODEL.md,FS-4014,Remove derivative from active Post-Volume 10 package,The regulatory-intelligence truth model is absorbed by FS-4014.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0063,02_ONTOLOGY_AND_TRUTH_MODELS/PV10-0063_domain_registry.json,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,The early domain registry is superseded by the FS-4000 master bundle and individual framework registries.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0066,04_WORKFLOWS/PV10-0066_008_FINTECH_ECOSYSTEM_2_.md,FS-4000 master bundle,Remove derivative from active Post-Volume 10 package,Organizational derivative of the original FinTech ecosystem source; domain content is absorbed into FS-4000. Original remains preserved.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0067,01_ECOSYSTEMS/PV10-0067_009_CREDIT_UNION_ECOSYSTEM.md,FS-4002,Remove derivative from active Post-Volume 10 package,Organizational derivative of the Credit Union ecosystem source; domain content is absorbed into FS-4002. Original remains preserved.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
PV10-0068,01_ECOSYSTEMS/PV10-0068_010_CAPITAL_MARKETS_ECOSYSTEM.md,FS-4008,Remove derivative from active Post-Volume 10 package,Organizational derivative of the Capital Markets ecosystem source; domain content is absorbed into FS-4008. Original remains preserved.,Original unmodified source retained in 10_ORIGINAL_UNMODIFIED_SOURCES where applicable,Superseded / fully absorbed by FS-4000
