post–Volume 10 artifact,primary FS mapping,secondary FS mapping,mapping rationale,coverage type,current FS status,overlap level,missing from FS,superseded by FS,still independently valuable
PV10-0001 | MASTER_PRODUCT_AND_INTELLIGENCE_MAP.md,FS-8000,,Workflows content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0002 | SCOPE_AND_NON_GOALS.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0003 | RFC-11000.md,FS-4000,,Workflows content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0004 | RFC-11001.md,FS-6000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0005 | RFC-11002.md,FS-9000,,"Data, Connectors and Graph content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0006 | RFC-11003.md,FS-4000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-4000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0007 | RFC-11004.md,FS-13000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-13000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0008 | RFC-11005.md,FS-8000,,"Executive, Board and Governance content aligns most strongly to FS-8000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0009 | RFC-11006.md,FS-12000,,"Executive, Board and Governance content aligns most strongly to FS-12000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0010 | RFC-11007.md,FS-9000,,"Data, Connectors and Graph content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0011 | RFC-11008.md,FS-9000,,"Data, Connectors and Graph content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0012 | RFC-11009.md,FS-6000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0013 | RFC-11010.md,FS-6000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0014 | RFC-11011.md,FS-6000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0015 | RFC-11012.md,FS-4000,,"Executive, Board and Governance content aligns most strongly to FS-4000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0016 | RFC-11013.md,FS-8000,,Workflows content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0017 | RFC-11014.md,FS-9000,,"Data, Connectors and Graph content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0018 | RFC-11015.md,FS-8000,,"Executive, Board and Governance content aligns most strongly to FS-8000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0019 | CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0020 | COOPERATIVE_FINANCE_AND_CUSOS.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0021 | CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0022 | DEPOSITS_TREASURY_AND_LIQUIDITY.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0023 | FINANCE_ACCOUNTING_AND_ECONOMICS.md,FS-6000,,Ontology and Truth Models content aligns most strongly to FS-6000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0024 | FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,FS-12000,,Workflows content aligns most strongly to FS-12000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0025 | INNOVATION_PROCUREMENT_AND_ADOPTION.md,FS-12000,,Ontology and Truth Models content aligns most strongly to FS-12000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0026 | INSTITUTIONS_AND_GOVERNANCE.md,FS-4000,,Workflows content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0027 | LENDING_CREDIT_AND_SERVICING.md,FS-13000,,Ontology and Truth Models content aligns most strongly to FS-13000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0028 | OPERATIONS_TECHNOLOGY_AND_DATA.md,FS-8000,,Workflows content aligns most strongly to FS-8000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0029 | PAYMENTS_CARDS_AND_MONEY_MOVEMENT.md,FS-10000,,Ontology and Truth Models content aligns most strongly to FS-10000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0030 | RISK_COMPLIANCE_AND_REGULATION.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0031 | WEALTH_BROKERAGE_TRUST_AND_INSURANCE.md,FS-12000,,Ontology and Truth Models content aligns most strongly to FS-12000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0032 | FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0033 | INNOVATION_TO_INSTITUTION_BRIDGE.md,FS-6000,,Ontology and Truth Models content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0034 | INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,FS-8000,,Ontology and Truth Models content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0035 | LENDING_CREDIT_TRUTH_MODEL.md,FS-8000,,Ontology and Truth Models content aligns most strongly to FS-8000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0036 | PARTNERSHIP_PILOT_INVESTMENT_TRUTH_MODEL.md,FS-6000,,Ontology and Truth Models content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
