cartridge_id,manifest_file,reference_class,source_field,source_term,resolved_id,status
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,Institution,OBJ.INSTITUTION,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,CustomerRelationship,OBJ.CUSTOMERRELATIONSHIP,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,DepositAccount,OBJ.DEPOSITACCOUNT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,Loan,OBJ.LOAN,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,TreasuryService,OBJ.TREASURYSERVICE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,Branch,OBJ.BRANCH,resolved
FS-4001,FS-4001_BANKING.cartridge.json,object,primary_objects,DigitalChannel,OBJ.DIGITALCHANNEL,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,OFFERS,REL.OFFERS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,OWNS,REL.OWNS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,BORROWS_FROM,REL.BORROWS_FROM,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,SECURED_BY,REL.SECURED_BY,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,SUPPORTS,REL.SUPPORTS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,relationship,relationships,CREATES,REL.CREATES,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Customer Onboarding,WF.CUSTOMER_ONBOARDING,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Deposit Account Opening,WF.DEPOSIT_ACCOUNT_OPENING,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Loan Origination,WF.LOAN_ORIGINATION,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Treasury Implementation,WF.TREASURY_IMPLEMENTATION,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Complaint Management,WF.COMPLAINT_MANAGEMENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,workflow,supported_workflows,Board Reporting,WF.BOARD_REPORTING,resolved
